"filename", "language", "Markdown", "Go", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/finalize_delete_test.go", "Go", 0, -139, 0, -9, -148
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/ensure_runtime_test.go", "Go", 0, 10, 0, 3, 13
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_runtime_test.go", "Go", 0, -278, 0, -6, -284
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_source_worker_test.go", "Go", 0, 132, 15, 7, 154
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_upload_session_test.go", "Go", 0, 161, 15, 7, 183
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/reconcile_gate.go", "Go", 0, 12, 0, 1, 13
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/reconcile_gate_test.go", "Go", 0, 21, 0, 0, 21
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/status_mutation.go", "Go", 0, 32, 0, 2, 34
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/status_mutation_test.go", "Go", 0, -144, 0, -5, -149
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/plan_source_worker.go", "Go", 0, -27, 0, -1, -28
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/plan_source_worker_test.go", "Go", 0, -56, 0, 0, -56
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/start_publication_test.go", "Go", 0, -5, 0, 0, -5
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/sourceadmission/preflight.go", "Go", 0, -41, 0, -4, -45
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/sourceadmission/preflight_test.go", "Go", 0, -64, 0, -6, -70
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/bootstrap/bootstrap.go", "Go", 0, 7, 0, 0, 7
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/cmdsupport/common.go", "Go", 0, 64, 0, 14, 78
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/cmdsupport/common_test.go", "Go", 0, 91, 0, 15, 106
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/job.go", "Go", 0, 14, 0, 1, 15
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/job_test.go", "Go", 0, 24, 0, 1, 25
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/io.go", "Go", 0, 25, 0, 1, 26
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/options.go", "Go", 0, 9, 0, 0, 9
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/reconciler.go", "Go", 0, 3, 0, 0, 3
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/reconciler_test.go", "Go", 0, 2, 0, -3, -1
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/reconciler_upload_test.go", "Go", 0, 162, 15, 25, 202
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/test_helpers_test.go", "Go", 0, 57, 0, 6, 63
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/upload_session_sync.go", "Go", 0, 110, 15, 11, 136
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/artifactcleanup/backend_prefix.go", "Go", 0, 52, 15, 9, 76
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/artifactcleanup/backend_prefix_test.go", "Go", 0, 35, 15, 10, 60
