"filename", "language", "Markdown", "YAML", "Go Module File", "Go Checksum File", "Go", "Shell Script", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/tar_gzip.go", "Go", 0, 0, 0, 0, 44, 0, 15, 8, 67
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/sourcefetch/transport.go", "Go", 0, 0, 0, 0, 63, 0, 15, 8, 86
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/uploadstaging/s3/adapter.go", "Go", 0, 0, 0, 0, 103, 0, 15, 13, 131
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/uploadstaging/s3/multipart.go", "Go", 0, 0, 0, 0, 153, 0, 15, 13, 181
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/uploadstaging/s3/object_io.go", "Go", 0, 0, 0, 0, 110, 0, 15, 15, 140
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/ensure_cleanup_finalizer.go", "Go", 0, 0, 0, 0, 25, 0, 15, 6, 46
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/ensure_cleanup_finalizer_test.go", "Go", 0, 0, 0, 0, 86, 0, 15, 6, 107
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/finalize_delete.go", "Go", 0, 0, 0, 0, 164, 0, 15, 23, 202
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/deletion/finalize_delete_test.go", "Go", 0, 0, 0, 0, 412, 0, 15, 19, 446
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishaudit/plan.go", "Go", 0, 0, 0, 0, 96, 0, 15, 15, 126
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishaudit/plan_test.go", "Go", 0, 0, 0, 0, 111, 0, 15, 14, 140
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/ensure_runtime.go", "Go", 0, 0, 0, 0, 86, 0, 15, 18, 119
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/ensure_runtime_test.go", "Go", 0, 0, 0, 0, 206, 0, 15, 29, 250
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_runtime_test.go", "Go", 0, 0, 0, 0, 364, 0, 15, 15, 394
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_source_worker.go", "Go", 0, 0, 0, 0, 81, 0, 15, 9, 105
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/observe_upload_session.go", "Go", 0, 0, 0, 0, 98, 0, 15, 11, 124
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/reconcile_gate.go", "Go", 0, 0, 0, 0, 65, 0, 15, 12, 92
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/reconcile_gate_test.go", "Go", 0, 0, 0, 0, 123, 0, 15, 8, 146
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/runtime_result.go", "Go", 0, 0, 0, 0, 29, 0, 15, 5, 49
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/status_mutation.go", "Go", 0, 0, 0, 0, 59, 0, 15, 9, 83
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishobserve/status_mutation_test.go", "Go", 0, 0, 0, 0, 171, 0, 15, 11, 197
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/issue_upload_session.go", "Go", 0, 0, 0, 0, 66, 0, 15, 10, 91
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/issue_upload_session_test.go", "Go", 0, 0, 0, 0, 150, 0, 15, 7, 172
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/plan_source_worker.go", "Go", 0, 0, 0, 0, 143, 0, 15, 15, 173
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/plan_source_worker_test.go", "Go", 0, 0, 0, 0, 193, 0, 15, 8, 216
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/start_publication.go", "Go", 0, 0, 0, 0, 39, 0, 15, 9, 63
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/publishplan/start_publication_test.go", "Go", 0, 0, 0, 0, 83, 0, 15, 7, 105
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/sourceadmission/preflight.go", "Go", 0, 0, 0, 0, 67, 0, 15, 11, 93
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/application/sourceadmission/preflight_test.go", "Go", 0, 0, 0, 0, 161, 0, 15, 22, 198
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/bootstrap/bootstrap.go", "Go", 0, 0, 0, 0, 131, 0, 15, 18, 164
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/bootstrap/bootstrap_test.go", "Go", 0, 0, 0, 0, 97, 0, 15, 10, 122
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/cmdsupport/common.go", "Go", 0, 0, 0, 0, 134, 0, 15, 26, 175
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/cmdsupport/common_test.go", "Go", 0, 0, 0, 0, 35, 0, 15, 9, 59
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/apply.go", "Go", 0, 0, 0, 0, 150, 0, 15, 15, 180
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/apply_test.go", "Go", 0, 0, 0, 0, 76, 0, 15, 13, 104
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/gc_request.go", "Go", 0, 0, 0, 0, 84, 0, 15, 11, 110
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/gc_request_test.go", "Go", 0, 0, 0, 0, 81, 0, 15, 11, 107
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/job.go", "Go", 0, 0, 0, 0, 148, 0, 15, 16, 179
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/job_test.go", "Go", 0, 0, 0, 0, 50, 0, 15, 7, 72
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/metadata.go", "Go", 0, 0, 0, 0, 34, 0, 15, 8, 57
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/observe.go", "Go", 0, 0, 0, 0, 124, 0, 15, 17, 156
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/observe_test.go", "Go", 0, 0, 0, 0, 117, 0, 15, 19, 151
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/options.go", "Go", 0, 0, 0, 0, 51, 0, 15, 13, 79
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/reconciler.go", "Go", 0, 0, 0, 0, 42, 0, 15, 12, 69
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/reconciler_test.go", "Go", 0, 0, 0, 0, 248, 0, 15, 55, 318
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/runtime.go", "Go", 0, 0, 0, 0, 39, 0, 15, 9, 63
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/status.go", "Go", 0, 0, 0, 0, 45, 0, 15, 6, 66
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogcleanup/test_helpers_test.go", "Go", 0, 0, 0, 0, 150, 0, 15, 24, 189
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/audit.go", "Go", 0, 0, 0, 0, 13, 0, 15, 4, 32
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/io.go", "Go", 0, 0, 0, 0, 181, 0, 15, 21, 217
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/options.go", "Go", 0, 0, 0, 0, 114, 0, 15, 19, 148
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/reconciler.go", "Go", 0, 0, 0, 0, 74, 0, 15, 12, 101
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/reconciler_test.go", "Go", 0, 0, 0, 0, 178, 0, 15, 34, 227
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/test_helpers_test.go", "Go", 0, 0, 0, 0, 188, 0, 15, 27, 230
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/controllers/catalogstatus/watch.go", "Go", 0, 0, 0, 0, 54, 0, 15, 11, 80
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/artifactcleanup/run.go", "Go", 0, 0, 0, 0, 47, 0, 15, 6, 68
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/artifactcleanup/run_test.go", "Go", 0, 0, 0, 0, 27, 0, 15, 8, 50
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/provenance.go", "Go", 0, 0, 0, 0, 40, 0, 15, 8, 63
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/rawstage.go", "Go", 0, 0, 0, 0, 43, 0, 15, 6, 64
