"filename", "language", "Markdown", "YAML", "Go Module File", "Go Checksum File", "Go", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/README.md", "Markdown", 48, 0, 0, 0, 0, 0, 0, 48
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/STRUCTURE.ru.md", "Markdown", 12, 0, 0, 0, 0, 0, 13, 25
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/TEST_EVIDENCE.ru.md", "Markdown", 119, 0, 0, 0, 0, 0, 18, 137
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/artifact_cleanup.go", "Go", 0, 0, 0, 0, 10, 0, 1, 11
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/dispatch.go", "Go", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/publish_worker.go", "Go", 0, 0, 0, 0, 40, 0, 1, 41
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/staging_config.go", "Go", 0, 0, 0, 0, 16, 15, 4, 35
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-artifact-runtime/upload_session.go", "Go", 0, 0, 0, 0, 63, 0, 7, 70
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/cmd/ai-models-controller/run.go", "Go", 0, 0, 0, 0, 179, 0, 7, 186
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/go.mod", "Go Module File", 0, 0, 20, 0, 0, 0, 0, 20
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/go.sum", "Go Checksum File", 0, 0, 0, 40, 0, 0, 0, 40
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/auditevent/recorder.go", "Go", 0, 0, 0, 0, 26, 15, 7, 48
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/objectstorage/projection.go", "Go", 0, 0, 0, 0, 101, 15, 11, 127
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ociregistry/projection.go", "Go", 0, 0, 0, 0, 167, 15, 23, 205
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/ociregistry/projection_test.go", "Go", 0, 0, 0, 0, 101, 15, 13, 129
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/build.go", "Go", 0, 0, 0, 0, 42, 0, 4, 46
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/build_test.go", "Go", 0, 0, 0, 0, 46, 0, 4, 50
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/preflight.go", "Go", 0, 0, 0, 0, 67, 15, 11, 93
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service.go", "Go", 0, 0, 0, 0, 86, 0, 8, 94
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service_roundtrip_test.go", "Go", 0, 0, 0, 0, 5, 0, 0, 5
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/service_test.go", "Go", 0, 0, 0, 0, 108, 0, 15, 123
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/test_helpers_test.go", "Go", 0, 0, 0, 0, 28, 0, 0, 28
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation.go", "Go", 0, 0, 0, 0, 26, 0, 2, 28
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/sourceworker/validation_test.go", "Go", 0, 0, 0, 0, 8, 0, 0, 8
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/options.go", "Go", 0, 0, 0, 0, 16, 0, -1, 15
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/pod.go", "Go", 0, 0, 0, 0, -146, -15, -14, -175
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/replay_test.go", "Go", 0, 0, 0, 0, -136, -15, -22, -173
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/resources.go", "Go", 0, 0, 0, 0, -108, -15, -11, -134
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service.go", "Go", 0, 0, 0, 0, 112, 0, 4, 116
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_roundtrip_test.go", "Go", 0, 0, 0, 0, -52, -15, -11, -78
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/service_test.go", "Go", 0, 0, 0, 0, 56, 0, 5, 61
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/status.go", "Go", 0, 0, 0, 0, 17, 0, 2, 19
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/adapters/k8s/uploadsession/status_test.go", "Go", 0, 0, 0, 0, -17, -15, -6, -38
