"filename", "language", "Markdown", "YAML", "Shell Script", "Go Module File", "Go", "Go Checksum File", "comment", "blank", "total"
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/run_test.go", "Go", 0, 0, 0, 0, 151, 0, 15, 22, 188
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/publishworker/support.go", "Go", 0, 0, 0, 0, 86, 0, 15, 11, 112
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/run.go", "Go", 0, 0, 0, 0, 161, 0, 15, 20, 196
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/dataplane/uploadsession/run_test.go", "Go", 0, 0, 0, 0, 194, 0, 15, 38, 247
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/conditions.go", "Go", 0, 0, 0, 0, 233, 0, 15, 20, 268
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/operation.go", "Go", 0, 0, 0, 0, 47, 0, 15, 11, 73
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/operation_test.go", "Go", 0, 0, 0, 0, 88, 0, 15, 11, 114
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/runtime_decisions.go", "Go", 0, 0, 0, 0, 127, 0, 15, 11, 153
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/runtime_decisions_test.go", "Go", 0, 0, 0, 0, 199, 0, 15, 12, 226
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/status.go", "Go", 0, 0, 0, 0, 74, 0, 15, 9, 98
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/domain/publishstate/status_test.go", "Go", 0, 0, 0, 0, 220, 0, 15, 21, 256
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/modelpack/contract.go", "Go", 0, 0, 0, 0, 26, 0, 15, 8, 49
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/publishop/operation_contract.go", "Go", 0, 0, 0, 0, 77, 0, 15, 15, 107
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/publishop/operation_contract_test.go", "Go", 0, 0, 0, 0, 213, 0, 15, 13, 241
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/publishop/ports.go", "Go", 0, 0, 0, 0, 76, 0, 15, 17, 108
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/ports/publishop/ports_test.go", "Go", 0, 0, 0, 0, 50, 0, 15, 10, 75
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/publishedsnapshot/snapshot.go", "Go", 0, 0, 0, 0, 119, 0, 15, 28, 162
"/Users/myskat_90/flant/aleksandr-podmoskovniy/ai-models/images/controller/internal/publishedsnapshot/snapshot_test.go", "Go", 0, 0, 0, 0, 53, 0, 15, 10, 78
